city,year,weekofyear,total_cases
sj,2008,18,10
sj,2008,19,8
sj,2008,20,8
sj,2008,21,8
sj,2008,22,15
sj,2008,23,11
sj,2008,24,17
sj,2008,25,14
sj,2008,26,19
sj,2008,27,18
sj,2008,28,12
sj,2008,29,20
sj,2008,30,41
sj,2008,31,44
sj,2008,32,38
sj,2008,33,52
sj,2008,34,51
sj,2008,35,69
sj,2008,36,70
sj,2008,37,71
sj,2008,38,59
sj,2008,39,74
sj,2008,40,65
sj,2008,41,57
sj,2008,42,51
sj,2008,43,52
sj,2008,44,45
sj,2008,45,55
sj,2008,46,51
sj,2008,47,41
sj,2008,48,32
sj,2008,49,22
sj,2008,50,20
sj,2008,51,26
sj,2008,52,13
sj,2009,1,5
sj,2009,2,3
sj,2009,3,5
sj,2009,4,2
sj,2009,5,3
sj,2009,6,3
sj,2009,7,0
sj,2009,8,2
sj,2009,9,5
sj,2009,10,1
sj,2009,11,1
sj,2009,12,2
sj,2009,13,3
sj,2009,14,6
sj,2009,15,5
sj,2009,16,2
sj,2009,17,1
sj,2009,18,0
sj,2009,19,0
sj,2009,20,2
sj,2009,21,1
sj,2009,22,7
sj,2009,23,5
sj,2009,24,10
sj,2009,25,13
sj,2009,26,18
sj,2009,27,23
sj,2009,28,28
sj,2009,29,30
sj,2009,30,38
sj,2009,31,39
sj,2009,32,45
sj,2009,33,47
sj,2009,34,54
sj,2009,35,55
sj,2009,36,71
sj,2009,37,74
sj,2009,38,74
sj,2009,39,66
sj,2009,40,68
sj,2009,41,70
sj,2009,42,81
sj,2009,43,69
sj,2009,44,63
sj,2009,45,72
sj,2009,46,67
sj,2009,47,65
sj,2009,48,55
sj,2009,49,44
sj,2009,50,53
sj,2009,51,51
sj,2009,52,43
sj,2010,53,9
sj,2010,1,6
sj,2010,2,6
sj,2010,3,15
sj,2010,4,12
sj,2010,5,14
sj,2010,6,3
sj,2010,7,2
sj,2010,8,2
sj,2010,9,2
sj,2010,10,1
sj,2010,11,3
sj,2010,12,2
sj,2010,13,20
sj,2010,14,3
sj,2010,15,0
sj,2010,16,6
sj,2010,17,11
sj,2010,18,19
sj,2010,19,15
sj,2010,20,12
sj,2010,21,12
sj,2010,22,36
sj,2010,23,31
sj,2010,24,25
sj,2010,25,23
sj,2010,26,26
sj,2010,27,41
sj,2010,28,45
sj,2010,29,35
sj,2010,30,39
sj,2010,31,46
sj,2010,32,57
sj,2010,33,61
sj,2010,34,58
sj,2010,35,50
sj,2010,36,51
sj,2010,37,64
sj,2010,38,66
sj,2010,39,43
sj,2010,40,45
sj,2010,41,66
sj,2010,42,58
sj,2010,43,41
sj,2010,44,55
sj,2010,45,50
sj,2010,46,38
sj,2010,47,27
sj,2010,48,21
sj,2010,49,17
sj,2010,50,20
sj,2010,51,22
sj,2011,52,12
sj,2011,1,4
sj,2011,2,7
sj,2011,3,13
sj,2011,4,5
sj,2011,5,2
sj,2011,6,0
sj,2011,7,0
sj,2011,8,6
sj,2011,9,11
sj,2011,10,3
sj,2011,11,6
sj,2011,12,7
sj,2011,13,4
sj,2011,14,0
sj,2011,15,1
sj,2011,16,1
sj,2011,17,2
sj,2011,18,0
sj,2011,19,0
sj,2011,20,3
sj,2011,21,5
sj,2011,22,6
sj,2011,23,11
sj,2011,24,34
sj,2011,25,18
sj,2011,26,14
sj,2011,27,19
sj,2011,28,24
sj,2011,29,26
sj,2011,30,38
sj,2011,31,37
sj,2011,32,44
sj,2011,33,35
sj,2011,34,56
sj,2011,35,49
sj,2011,36,46
sj,2011,37,43
sj,2011,38,41
sj,2011,39,36
sj,2011,40,47
sj,2011,41,37
sj,2011,42,38
sj,2011,43,39
sj,2011,44,37
