city,year,weekofyear,total_cases
sj,2008,18,22
sj,2008,19,20
sj,2008,20,22
sj,2008,21,19
sj,2008,22,22
sj,2008,23,17
sj,2008,24,19
sj,2008,25,20
sj,2008,26,18
sj,2008,27,16
sj,2008,28,12
sj,2008,29,12
sj,2008,30,16
sj,2008,31,18
sj,2008,32,19
sj,2008,33,24
sj,2008,34,22
sj,2008,35,25
sj,2008,36,26
sj,2008,37,34
sj,2008,38,27
sj,2008,39,28
sj,2008,40,32
sj,2008,41,28
sj,2008,42,31
sj,2008,43,27
sj,2008,44,30
sj,2008,45,30
sj,2008,46,27
sj,2008,47,29
sj,2008,48,25
sj,2008,49,28
sj,2008,50,24
sj,2008,51,22
sj,2008,52,23
sj,2009,1,21
sj,2009,2,17
sj,2009,3,16
sj,2009,4,16
sj,2009,5,14
sj,2009,6,13
sj,2009,7,6
sj,2009,8,7
sj,2009,9,9
sj,2009,10,4
sj,2009,11,5
sj,2009,12,3
sj,2009,13,9
sj,2009,14,8
sj,2009,15,7
sj,2009,16,6
sj,2009,17,6
sj,2009,18,3
sj,2009,19,4
sj,2009,20,3
sj,2009,21,6
sj,2009,22,1
sj,2009,23,4
sj,2009,24,9
sj,2009,25,11
sj,2009,26,13
sj,2009,27,13
sj,2009,28,17
sj,2009,29,13
sj,2009,30,18
sj,2009,31,18
sj,2009,32,19
sj,2009,33,23
sj,2009,34,21
sj,2009,35,19
sj,2009,36,22
sj,2009,37,23
sj,2009,38,28
sj,2009,39,29
sj,2009,40,27
sj,2009,41,28
sj,2009,42,25
sj,2009,43,25
sj,2009,44,26
sj,2009,45,27
sj,2009,46,24
sj,2009,47,29
sj,2009,48,24
sj,2009,49,23
sj,2009,50,25
sj,2009,51,26
sj,2009,52,26
sj,2010,53,23
sj,2010,1,21
sj,2010,2,21
sj,2010,3,19
sj,2010,4,19
sj,2010,5,22
sj,2010,6,21
sj,2010,7,20
sj,2010,8,19
sj,2010,9,14
sj,2010,10,17
sj,2010,11,14
sj,2010,12,11
sj,2010,13,11
sj,2010,14,11
sj,2010,15,7
sj,2010,16,7
sj,2010,17,8
sj,2010,18,10
sj,2010,19,13
sj,2010,20,10
sj,2010,21,12
sj,2010,22,16
sj,2010,23,16
sj,2010,24,13
sj,2010,25,14
sj,2010,26,21
sj,2010,27,23
sj,2010,28,24
sj,2010,29,25
sj,2010,30,27
sj,2010,31,23
sj,2010,32,30
sj,2010,33,29
sj,2010,34,28
sj,2010,35,28
sj,2010,36,29
sj,2010,37,29
sj,2010,38,33
sj,2010,39,29
sj,2010,40,29
sj,2010,41,33
sj,2010,42,31
sj,2010,43,26
sj,2010,44,32
sj,2010,45,32
sj,2010,46,33
sj,2010,47,28
sj,2010,48,27
sj,2010,49,27
sj,2010,50,21
sj,2010,51,22
sj,2011,52,17
sj,2011,1,15
sj,2011,2,20
sj,2011,3,14
sj,2011,4,11
sj,2011,5,9
sj,2011,6,8
sj,2011,7,0
sj,2011,8,8
sj,2011,9,9
sj,2011,10,7
sj,2011,11,3
sj,2011,12,6
sj,2011,13,6
sj,2011,14,6
sj,2011,15,4
sj,2011,16,4
sj,2011,17,3
sj,2011,18,3
sj,2011,19,0
sj,2011,20,5
sj,2011,21,6
sj,2011,22,7
sj,2011,23,17
sj,2011,24,20
sj,2011,25,17
sj,2011,26,19
sj,2011,27,20
sj,2011,28,26
sj,2011,29,28
sj,2011,30,29
sj,2011,31,31
sj,2011,32,32
sj,2011,33,33
sj,2011,34,34
sj,2011,35,35
sj,2011,36,35
sj,2011,37,31
sj,2011,38,34
sj,2011,39,30
sj,2011,40,30
sj,2011,41,31
sj,2011,42,34
sj,2011,43,32
sj,2011,44,31
sj,2011,45,30
sj,2011,46,31
sj,2011,47,30
